Date,Open,High,Low,Close,Adj Close,Volume
3/26/2013,211.770004,212.5,211.5,212.360001,178.51416,2300300
3/27/2013,210.960007,212.160004,210.100006,210.889999,177.278503,3223400
3/28/2013,209.830002,213.440002,209.740005,213.300003,179.304352,3749900
4/1/2013,212.800003,213.5,211.25,212.380005,178.53096,2144500
4/2/2013,212.919998,214.710007,211.570007,214.360001,180.195404,3116800
4/3/2013,214.320007,214.889999,212.630005,212.660004,178.766357,3128800
4/4/2013,212.770004,212.929993,210.039993,211.309998,177.631485,3709500
4/5/2013,209.100006,209.839996,206.339996,209.410004,176.034332,4148000
4/8/2013,209.070007,209.320007,207.330002,209.320007,175.958664,2351200
4/9/2013,209.559998,210,208.610001,209.220001,175.874634,2577300
4/10/2013,211.860001,212.509995,210.470001,212,178.211548,3524200
4/11/2013,211.5,213.089996,210.850006,212.919998,178.984909,3655600
4/12/2013,210.789993,211.490005,209.779999,211.380005,177.690353,3165400
4/15/2013,210.440002,211.690002,209.259995,209.259995,175.908234,4218100
4/16/2013,210.839996,212,209.199997,212,178.211548,2859500
4/17/2013,210.529999,211.089996,209.5,209.669998,176.252899,3269800
4/18/2013,210.110001,210.25,206.149994,207.149994,174.134506,6502000
4/19/2013,195.740005,196.5,189.759995,190,159.717911,18847000
4/22/2013,191.149994,191.380005,187.679993,187.830002,157.893738,9845400
4/23/2013,189.270004,192.550003,188.610001,191.610001,161.071274,6296100
4/24/2013,192.160004,192.5,191.089996,191.710007,161.15535,3693900
4/25/2013,192.690002,195.169998,192.320007,193.949997,163.038376,4650900
4/26/2013,194.160004,194.710007,193.25,194.309998,163.341003,3490300
4/29/2013,194.779999,199.679993,194.649994,199.149994,167.409561,5932400
4/30/2013,199.130005,202.589996,197.350006,202.539993,170.259247,7539900
5/1/2013,201.869995,202.169998,199.199997,199.630005,167.813095,4899100
5/2/2013,200.119995,202.429993,199.75,202.389999,170.133179,3945100
5/3/2013,203.940002,205.320007,203.75,204.509995,171.915298,4492700
5/6/2013,203.789993,203.990005,201.520004,202.779999,170.461029,4826500
5/7/2013,202.809998,203.729996,201.649994,203.630005,171.175568,3451000
5/8/2013,202.940002,204.850006,202.509995,204.820007,172.982925,3601700
5/9/2013,204.690002,205,202.720001,203.240005,171.648514,3542300
5/10/2013,203.369995,204.529999,202.820007,204.470001,172.687317,3279200
5/13/2013,204.179993,204.470001,202.220001,202.470001,170.998169,3648400
5/14/2013,202.089996,203.669998,202.080002,203.210007,171.623184,3699700
5/15/2013,202.25,203.679993,202.039993,203.320007,171.71608,4028100
5/16/2013,204,206.589996,204,204.690002,172.873108,4507000
5/17/2013,205.25,209.5,204.990005,208.440002,176.040222,5704100
5/20/2013,208.020004,209.149994,207.419998,207.600006,175.330795,3614500
5/21/2013,207.240005,209.479996,207,208.649994,176.217575,2982900
5/22/2013,208.5,210.149994,206.119995,206.990005,174.815643,5186800
5/23/2013,205.479996,208.610001,205.130005,206.160004,174.114624,5179100
5/24/2013,204.690002,206.429993,204.419998,205.720001,173.743027,3295800
5/28/2013,207.440002,208.589996,207.160004,207.779999,175.482788,4011500
5/29/2013,206.220001,208.419998,206.039993,207.919998,175.601044,3439400
5/30/2013,206.970001,210.990005,206.970001,209.360001,176.8172,4399700
5/31/2013,208.589996,211.979996,208.020004,208.020004,175.685532,4949000
6/3/2013,208.25,210.050003,207.330002,208.949997,176.470917,3322000
6/4/2013,208.600006,209,205.080002,206.190002,174.139938,3598300
6/5/2013,205.160004,206.289993,202.399994,202.740005,171.226227,4215400
6/6/2013,203,204.199997,201.470001,203.800003,172.121475,3679400
6/7/2013,204.850006,206.350006,204.110001,206.350006,174.275116,2953400
6/10/2013,206.970001,206.979996,204.899994,205.020004,173.15184,2652300
6/11/2013,203.169998,205.949997,202.509995,203.979996,172.273483,2814400
6/12/2013,204.589996,205.229996,200.509995,201.199997,169.925613,3409800
6/13/2013,201.009995,204.399994,200.339996,203.770004,172.09613,2899500
6/14/2013,203.970001,204.740005,201.809998,202.199997,170.770142,2804500
6/17/2013,203.440002,205.169998,202.550003,203.039993,171.479568,3219900
6/18/2013,203.020004,206.089996,202.869995,204.869995,173.025131,3277800
6/19/2013,204.440002,205.029999,201.929993,201.940002,170.550598,2846100
6/20/2013,200.669998,201.699997,197.279999,197.350006,166.674026,4514800
